
DOY, 2018:48N125W:upwell (m3/s/100m), 2017:48N125W:upwell (m3/s/100m), 2016:48N125W:upwell (m3/s/100m), 2015:48N125W:upwell (m3/s/100m), 2014:48N125W:upwell (m3/s/100m), 2013:48N125W:upwell (m3/s/100m), 2012:48N125W:upwell (m3/s/100m), 2011:48N125W:upwell (m3/s/100m), 2010:48N125W:upwell (m3/s/100m)
177, 30.000, 83.000, 13.000, 71.000, -24.000, -6.000, 10.000, -1.000, 3.000
178, 33.000, 47.000, 41.000, 64.000, -46.000, -40.000, 2.000, -20.000, 6.000
179, 1.000, 40.000, 65.000, 15.000, -17.000, -54.000, -20.000, 4.000, 6.000
180, 8.000, 29.000, 65.000, 21.000, 5.000, -7.000, -68.000, 24.000, 7.000
181, 14.000, 40.000, 52.000, 80.000, 16.000, 16.000, -22.000, 0.000, 1.000
182, 60.000, 22.000, 17.000, 60.000, 8.000, 48.000, 26.000, -3.000, 2.000
183, 56.000, 51.000, 4.000, 82.000, 34.000, 74.000, 21.000, 12.000, 39.000
184, 7.000, 47.000, 28.000, 80.000, 13.000, 62.000, -4.000, 20.000, 14.000
185, -11.000, 44.000, 49.000, 49.000, -4.000, 58.000, 32.000, 14.000, 51.000
186, -3.000, 33.000, 35.000, 4.000, -23.000, 64.000, 11.000, 26.000, 45.000
187, -22.000, 38.000, 8.000, 8.000, -3.000, 70.000, 13.000, 51.000, 36.000
188, -4.000, 28.000, 1.000, 17.000, 49.000, 64.000, 20.000, 83.000, 6.000
189, 8.000, 18.000, -72.000, 20.000, 67.000, 38.000, 40.000, 18.000, 14.000
190, 7.000, 55.000, -37.000, 18.000, 88.000, 62.000, 60.000, 9.000, 41.000
191, 25.000, 50.000, -32.000, 1.000, 43.000, 68.000, 42.000, 5.000, 28.000
192, 53.000, 13.000, 20.000, -18.000, 25.000, 31.000, 43.000, 9.000, 55.000
193, 69.000, 13.000, -6.000, -11.000, 22.000, 26.000, 45.000, 8.000, 80.000
194, 87.000, 13.000, 6.000, 24.000, 45.000, 39.000, 47.000, -4.000, 29.000
195, 28.000, 8.000, 17.000, 35.000, 50.000, 54.000, 45.000, -16.000, 28.000
